Date,Actual,LSTM_Pred
2020-12-12 23:59:59,18803.65687045,17388.44
2020-12-13 23:59:59,19142.3825335,17613.578
2020-12-14 23:59:59,19246.64434137,18020.996
2020-12-15 23:59:59,19417.07603342,18353.432
2020-12-16 23:59:59,21310.59813054,18586.332
2020-12-17 23:59:59,22805.16149213,19501.297
2020-12-18 23:59:59,23137.96056165,20866.998
2020-12-19 23:59:59,23869.83196434,21856.08
2020-12-20 23:59:59,23477.29519711,22538.668
2020-12-21 23:59:59,22803.0814087,22594.895
2020-12-22 23:59:59,23783.02850288,22096.004
2020-12-23 23:59:59,23241.34486501,22067.61
2020-12-24 23:59:59,23735.94972763,21929.209
2020-12-25 23:59:59,24664.79027412,22030.787
2020-12-26 23:59:59,26437.0375091,22555.479
2020-12-27 23:59:59,26272.29456706,23730.06
2020-12-28 23:59:59,27084.80788628,24438.633
2020-12-29 23:59:59,27362.4365573,25000.096
2020-12-30 23:59:59,28840.95341968,25325.025
2020-12-31 23:59:59,29001.71982218,26046.951
2021-01-01 23:59:59,29374.15188907,26547.746
2021-01-02 23:59:59,32127.267939219997,26857.861
2021-01-03 23:59:59,32782.02446581,28179.246
2021-01-04 23:59:59,31971.91352155,29360.871
2021-01-05 23:59:59,33992.42934365,29449.379
2021-01-06 23:59:59,36824.36441009,30069.768
2021-01-07 23:59:59,39371.04235311,31777.926
2021-01-08 23:59:59,40797.61071993,34018.41
2021-01-09 23:59:59,40254.54649816,35780.5
2021-01-10 23:59:59,38356.43950662,36033.523
2021-01-11 23:59:59,35566.65594049,34659.8
2021-01-12 23:59:59,33922.9605815,32134.527
2021-01-13 23:59:59,37316.35939997,29895.965
2021-01-14 23:59:59,39187.32812109,30641.514
2021-01-15 23:59:59,36825.36585131,32706.723
2021-01-16 23:59:59,36178.13890106,32943.434
2021-01-17 23:59:59,35791.27792129,32272.996
2021-01-18 23:59:59,36630.07568284,31530.906
2021-01-19 23:59:59,36069.80639361,31575.943
2021-01-20 23:59:59,35547.7508855,31542.666
2021-01-21 23:59:59,30825.69850603,31275.586
2021-01-22 23:59:59,33005.76356216,28838.379
2021-01-23 23:59:59,32067.64288212,28241.775
2021-01-24 23:59:59,32289.378086869998,28051.7
2021-01-25 23:59:59,32366.393048869995,28248.865
2021-01-26 23:59:59,32569.84955679,28548.182
2021-01-27 23:59:59,30432.54707881,28857.977
2021-01-28 23:59:59,33466.09635821,28030.69
2021-01-29 23:59:59,34316.38765032,28760.178
2021-01-30 23:59:59,34269.52154165,29935.986
2021-01-31 23:59:59,33114.35774753,30592.35
2021-02-01 23:59:59,33537.1768196,30182.703
2021-02-02 23:59:59,35510.28903716,29866.64
2021-02-03 23:59:59,37472.09010368,30649.484
2021-02-04 23:59:59,36926.06446515,32223.777
2021-02-05 23:59:59,38144.30686267,32871.695
2021-02-06 23:59:59,39266.01073494,33454.39
2021-02-07 23:59:59,38903.44147971,34169.836
2021-02-08 23:59:59,46196.46371944,34271.184
2021-02-09 23:59:59,46481.10423596,37658.562
2021-02-10 23:59:59,44918.18449192,40007.52
2021-02-11 23:59:59,47909.33119483,39834.86
2021-02-12 23:59:59,47504.85118326,40445.113
2021-02-13 23:59:59,47105.51747252,40502.543
2021-02-14 23:59:59,48717.2902111,40060.29
2021-02-15 23:59:59,47945.05683234,40476.12
2021-02-16 23:59:59,49199.87134362,40393.79
2021-02-17 23:59:59,52149.00753587,40836.426
2021-02-18 23:59:59,51679.79669449,42587.18
2021-02-19 23:59:59,55888.13368221,43311.08
2021-02-20 23:59:59,56099.52051348,45417.434
2021-02-21 23:59:59,57539.9436679,46542.99
2021-02-22 23:59:59,54207.31906543,47341.297
2021-02-23 23:59:59,48824.42686909,45661.125
2021-02-24 23:59:59,49705.33331637,41529.69
2021-02-25 23:59:59,47093.85301914,39884.63
2021-02-26 23:59:59,46339.76008289,38546.992
2021-02-27 23:59:59,46188.45127539,37883.68
2021-02-28 23:59:59,45137.77046805,37883.23
2021-03-01 23:59:59,49631.24137077,37675.4
2021-03-02 23:59:59,48378.98805435,39903.69
2021-03-03 23:59:59,50538.24341445,40858.07
2021-03-04 23:59:59,48561.1661539,42031.31
2021-03-05 23:59:59,48927.3045548,41488.207
2021-03-06 23:59:59,48912.38173056,40972.1
2021-03-07 23:59:59,51206.69295308,40699.617
2021-03-08 23:59:59,52246.52230995,41781.38
2021-03-09 23:59:59,54824.11781138,43039.71
2021-03-10 23:59:59,56008.54940114,44853.863
2021-03-11 23:59:59,57805.12301924,46216.11
