Date,Actual,ARIMA_Pred,SARIMA_Pred
2020-08-11 23:59:59,11410.5256775,11882.390575333782,11908.407000225148
2020-08-12 23:59:59,11584.9345762,11880.68742788203,11835.893687487447
2020-08-13 23:59:59,11784.1373895,11880.654018850151,11791.524221823636
2020-08-14 23:59:59,11768.8706193,11880.660904468768,11810.944683200254
2020-08-15 23:59:59,11865.69857,11880.661107510567,11846.284846706341
2020-08-16 23:59:59,11892.8040631,11880.661080285545,11880.683979165813
2020-08-17 23:59:59,12254.4019083,11880.661079183368,11788.788950538441
2020-08-18 23:59:59,11991.2332456,11880.661079288315,11754.723548096588
2020-08-19 23:59:59,11758.2835921,11880.661079293912,11753.31559297266
2020-08-20 23:59:59,11878.3716211,11880.661079293519,11804.092182209513
2020-08-21 23:59:59,11592.4890449,11880.661079293492,11808.63208008085
2020-08-22 23:59:59,11681.8255623,11880.661079293493,11747.41277740365
2020-08-23 23:59:59,11664.8479948,11880.661079293493,11740.56785141556
2020-08-24 23:59:59,11774.5958414,11880.661079293493,11732.790618035864
2020-08-25 23:59:59,11366.1350817,11880.661079293493,11774.346137286722
2020-08-26 23:59:59,11488.3634896,11880.661079293493,11742.745596939896
2020-08-27 23:59:59,11323.3970324,11880.661079293493,11701.972503284778
2020-08-28 23:59:59,11542.4997333,11880.661079293493,11692.075476885238
2020-08-29 23:59:59,11506.8653177,11880.661079293493,11714.038129598122
2020-08-30 23:59:59,11711.506161,11880.661079293493,11759.33194168255
2020-08-31 23:59:59,11680.8204905,11880.661079293493,11708.637965771803
2020-09-01 23:59:59,11970.4787405,11880.661079293493,11671.38911364605
2020-09-02 23:59:59,11414.0337325,11880.661079293493,11650.330215461534
2020-09-03 23:59:59,10245.296686,11880.661079293493,11688.423149496497
2020-09-04 23:59:59,10511.8138807,11880.661079293493,11712.26778410383
2020-09-05 23:59:59,10169.567221,11880.661079293493,11677.635078419944
2020-09-06 23:59:59,10280.3517032,11880.661079293493,11657.17078440052
2020-09-07 23:59:59,10369.5637386,11880.661079293493,11635.698171685732
2020-09-08 23:59:59,10131.5166457,11880.661079293493,11671.616081237784
2020-09-09 23:59:59,10242.3477803,11880.661079293493,11668.471953398212
2020-09-10 23:59:59,10363.1390401,11880.661079293493,11643.154544515259
2020-09-11 23:59:59,10400.9146854,11880.661079293493,11619.597639415568
2020-09-12 23:59:59,10442.1706031,11880.661079293493,11623.269852479254
2020-09-13 23:59:59,10323.7557975,11880.661079293493,11664.961151823598
2020-09-14 23:59:59,10680.8374328,11880.661079293493,11645.91212466236
2020-09-15 23:59:59,10796.9509861,11880.661079293493,11618.707651428513
2020-09-16 23:59:59,10974.9048915,11880.661079293493,11587.533313322881
2020-09-17 23:59:59,10948.9899152,11880.661079293493,11606.797163825086
2020-09-18 23:59:59,10944.5858045,11880.661079293493,11635.504476027965
2020-09-19 23:59:59,11094.3462761,11880.661079293493,11624.60499488254
2020-09-20 23:59:59,10938.2712894,11880.661079293493,11605.592962864388
2020-09-21 23:59:59,10462.2596185,11880.661079293493,11575.273589667475
2020-09-22 23:59:59,10538.4603213,11880.661079293493,11597.036186928715
2020-09-23 23:59:59,10246.18649281,11880.661079293493,11607.82403512593
2020-09-24 23:59:59,10760.06625677,11880.661079293493,11600.072870792274
2020-09-25 23:59:59,10692.71721234,11880.661079293493,11576.21317559777
2020-09-26 23:59:59,10750.72357903,11880.661079293493,11565.362497989403
2020-09-27 23:59:59,10775.26937624,11880.661079293493,11594.716951623746
2020-09-28 23:59:59,10709.65218175,11880.661079293493,11594.406339825684
2020-09-29 23:59:59,10844.64098118,11880.661079293493,11581.930445571259
2020-09-30 23:59:59,10784.49157795,11880.661079293493,11550.94432561237
2020-10-01 23:59:59,10619.45190766,11880.661079293493,11553.363242821795
2020-10-02 23:59:59,10575.97504191,11880.661079293493,11576.573655635792
2020-10-03 23:59:59,10549.32889962,11880.661079293493,11581.220918458614
2020-10-04 23:59:59,10669.58254327,11880.661079293493,11571.25440461194
2020-10-05 23:59:59,10793.33942751,11880.661079293493,11539.92034382668
2020-10-06 23:59:59,10604.40588882,11880.661079293493,11546.709329462401
2020-10-07 23:59:59,10668.96895539,11880.661079293493,11559.641497127557
2020-10-08 23:59:59,10915.68573098,11880.661079293493,11565.137660914042
2020-10-09 23:59:59,11064.45759247,11880.661079293493,11548.892021864564
2020-10-10 23:59:59,11296.3614282,11880.661079293493,11531.00284114646
2020-10-11 23:59:59,11384.1819535,11880.661079293493,11545.792854687299
2020-10-12 23:59:59,11555.3628878,11880.661079293493,11552.521350317189
2020-10-13 23:59:59,11425.8994007,11880.661079293493,11552.929600120011
2020-10-14 23:59:59,11429.50688675,11880.661079293493,11529.265283828257
2020-10-15 23:59:59,11495.34965037,11880.661079293493,11521.126472553256
2020-10-16 23:59:59,11322.12268618,11880.661079293493,11534.195493275174
2020-10-17 23:59:59,11358.10156733,11880.661079293493,11545.284119123247
2020-10-18 23:59:59,11483.35971184,11880.661079293493,11545.421197501179
2020-10-19 23:59:59,11742.03715033,11880.661079293493,11519.608116844951
2020-10-20 23:59:59,11916.33514058,11880.661079293493,11515.499129358725
2020-10-21 23:59:59,12823.68918938,11880.661079293493,11523.710731645884
2020-10-22 23:59:59,12965.89129043,11880.661079293493,11535.66632602643
2020-10-23 23:59:59,12931.53902256,11880.661079293493,11529.294483495678
2020-10-24 23:59:59,13108.06261161,11880.661079293493,11511.539016706793
2020-10-25 23:59:59,13031.17431056,11880.661079293493,11514.368291050805
2020-10-26 23:59:59,13075.24769656,11880.661079293493,11520.233776243575
2020-10-27 23:59:59,13654.21844012,11880.661079293493,11528.370506894638
2020-10-28 23:59:59,13271.28536861,11880.661079293493,11514.74721216742
2020-10-29 23:59:59,13437.8832414,11880.661079293493,11503.002043965891
2020-10-30 23:59:59,13546.52226938,11880.661079293493,11506.188786390607
2020-10-31 23:59:59,13780.99470249,11880.661079293493,11516.700317669704
2020-11-01 23:59:59,13737.10982864,11880.661079293493,11523.96464093215
2020-11-02 23:59:59,13550.4893841,11880.661079293493,11506.948046283242
2020-11-03 23:59:59,13950.30084729,11880.661079293493,11497.70591775501
2020-11-04 23:59:59,14133.70715301,11880.661079293493,11499.148752533672
2020-11-05 23:59:59,15579.84846029,11880.661079293493,11511.429976580475
2020-11-06 23:59:59,15565.88058083,11880.661079293493,11513.141394470444
2020-11-07 23:59:59,14833.7541075,11880.661079293493,11500.130033255347
2020-11-08 23:59:59,15479.56703842,11880.661079293493,11495.86029757818
2020-11-09 23:59:59,15332.31559743,11880.661079293493,11497.296987687443
2020-11-10 23:59:59,15290.90268148,11880.661079293493,11507.639327025992
2020-11-11 23:59:59,15701.33973237,11880.661079293493,11503.076367862419
2020-11-12 23:59:59,16276.34394919,11880.661079293493,11492.94551446644
2020-11-13 23:59:59,16317.80819009,11880.661079293493,11489.394962646636
2020-11-14 23:59:59,16068.13870685,11880.661079293493,11495.605932986819
2020-11-15 23:59:59,15955.58743887,11880.661079293493,11505.67180473577
2020-11-16 23:59:59,16716.11132377,11880.661079293493,11497.439073505839
2020-11-17 23:59:59,17645.40576746,11880.661079293493,11488.069496814713
2020-11-18 23:59:59,17804.00563217,11880.661079293493,11484.03361098998
2020-11-19 23:59:59,17817.09024754,11880.661079293493,11492.818954107668
2020-11-20 23:59:59,18621.31436938,11880.661079293493,11498.978415924175
2020-11-21 23:59:59,18642.23276593,11880.661079293493,11492.252435154072
2020-11-22 23:59:59,18370.00252365,11880.661079293493,11485.711855985437
2020-11-23 23:59:59,18364.12159134,11880.661079293493,11482.58525738869
2020-11-24 23:59:59,19107.46444977,11880.661079293493,11491.113914127225
2020-11-25 23:59:59,18732.1207774,11880.661079293493,11492.568906897826
2020-11-26 23:59:59,17150.62357809,11880.661079293493,11486.637226154051
2020-11-27 23:59:59,17108.40172774,11880.661079293493,11480.269245119891
2020-11-28 23:59:59,17717.4150112,11880.661079293493,11481.49229670139
2020-11-29 23:59:59,18177.48341979,11880.661079293493,11490.666904870492
2020-11-30 23:59:59,19625.83502949,11880.661079293493,11489.01553853566
2020-12-01 23:59:59,18802.99829969,11880.661079293493,11482.529893267309
2020-12-02 23:59:59,19201.09115697,11880.661079293493,11475.778400386032
2020-12-03 23:59:59,19445.39847988,11880.661079293493,11479.82890237573
2020-12-04 23:59:59,18699.76561337,11880.661079293493,11486.84067518522
2020-12-05 23:59:59,19154.231131,11880.661079293493,11485.551381171856
2020-12-06 23:59:59,19345.12095871,11880.661079293493,11480.136899328045
2020-12-07 23:59:59,19191.63128698,11880.661079293493,11474.219910028825
2020-12-08 23:59:59,18321.14491611,11880.661079293493,11479.06961768823
2020-12-09 23:59:59,18553.91537685,11880.661079293493,11483.102950040924
2020-12-10 23:59:59,18264.99210672,11880.661079293493,11481.58883535907
2020-12-11 23:59:59,18058.90334725,11880.661079293493,11475.587964885623
2020-12-12 23:59:59,18803.65687045,11880.661079293493,11473.103386482377
2020-12-13 23:59:59,19142.3825335,11880.661079293493,11479.287235258416
2020-12-14 23:59:59,19246.64434137,11880.661079293493,11481.228223006865
2020-12-15 23:59:59,19417.07603342,11880.661079293493,11478.518644975355
2020-12-16 23:59:59,21310.59813054,11880.661079293493,11471.75256601329
2020-12-17 23:59:59,22805.16149213,11880.661079293493,11471.769316936945
2020-12-18 23:59:59,23137.96056165,11880.661079293493,11477.187564912134
2020-12-19 23:59:59,23869.83196434,11880.661079293493,11479.265710414193
2020-12-20 23:59:59,23477.29519711,11880.661079293493,11476.524309288028
2020-12-21 23:59:59,22803.0814087,11880.661079293493,11470.050628188816
