Model,MAE,RMSE,MAPE_%
LSTM,4610.998468599756,6265.64380694817,10.637203643445856
"ARIMA(2,1,2)",20672.12635890585,26688.87026028447,49.80633434512946
"SARIMA(2,1,2)(1,0,1,7)",20950.950041532113,27008.32634698444,50.4347053855249
